page_number,url,name,price,original_price,discount_percentage,rating,sales_info,image_url,additional_badges
1,https://fr.aliexpress.com/item/1005006341680568.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-0&pdp_ext_f=%7B%22order%22%3A%226143%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21287.94%21143.97%21%21%21208.02%21104.01%21%40211b6c1917468332778255310efdb6%2112000036823357441%21sea%21MA%210%21ABX&curPageLogUid=3s4e1CA5gq93&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo à Manches Courtes pour Homme, Vêtement Décontracté, Respirant et Confortable, de Haute Qualité, Offre Spéciale, Été 2023",MAD 143.97,N/A,N/A,4.6,5 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sdcb9590f1f2249e6b93ee94baf7ad4c2Z.jpg_480x480q75.jpg_.avif,Le plus vendu sur AliExpress | MAD143.97 économisés
1,https://fr.aliexpress.com/item/1005008640874822.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-1&pdp_ext_f=%7B%22order%22%3A%2268%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21635.51%21285.96%21%21%2163.36%2128.51%21%40211b6c1917468332778255310efdb6%2112000046059353631%21sea%21MA%210%21ABX&curPageLogUid=ZKL8mOQNjnPe&utparam-url=scene%3Asearch%7Cquery_from%3A,"Manteau Chic mi-long pour femme, coupe ample, élégant, grande taille, vêtements d'extérieur amincissants, tendance, printemps-automne, offre spéciale",MAD 285.96,N/A,N/A,N/A,68 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sfdbdfc7c24974a149d8c64b373b793d5a.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD349.55 économisés
1,https://fr.aliexpress.com/item/1005008674944919.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-2&pdp_ext_f=%7B%22order%22%3A%2222%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21422.07%21189.97%21%21%2142.08%2118.94%21%40211b6c1917468332778255310efdb6%2112000046192724641%21sea%21MA%210%21ABX&curPageLogUid=6KJrQkDUM7wY&utparam-url=scene%3Asearch%7Cquery_from%3A,Printemps offre spéciale de la saison décontracté toile haut chaussures pour femmes Style rétro Version coréenne étudiant fond plat Slip-On Snea,MAD 189.97,N/A,N/A,4.5,22 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S5e08e9fdceb6427daf14822624a82328C.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD232.1 économisés
1,https://fr.aliexpress.com/item/1005008197567030.html?aem_p4p_detail=202505091627572880857949309840002761790&algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-3&pdp_ext_f=%7B%22order%22%3A%22128%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21830.52%21224.24%21%21%21600.00%21162.00%21%40211b6c1917468332778255310efdb6%2112000044203264269%21sea%21MA%210%21ABX&curPageLogUid=L5wphjUlRw7B&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202505091627572880857949309840002761790_1,"Produit de vente à chaud, 99% des acheteurs achètent à nouveau, ont de plus en plus de cheveux, disent Alfa à la calvitie, cheveux épais.",MAD 224.24,MAD830.52,-73%,4.7,128 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S4eeb046bbab541558e20003c985d3ec5e.jpg_480x480q75.jpg_.avif,Sélection du vendeur
1,https://fr.aliexpress.com/item/1005008668485196.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-4&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21589.98%21294.99%21%21%2158.82%2129.41%21%40211b6c1917468332778255310efdb6%2112000046165739898%21sea%21MA%210%21ABX&curPageLogUid=0A3hgxusCC7K&utparam-url=scene%3Asearch%7Cquery_from%3A,"Veste d'hiver épaisse en coton pour homme, manteau chaud, décontracté, sportif, tendance, Style pain, confortable, coupe ample, nouvelle offre spéciale",MAD 294.99,MAD589.98,-50%,N/A,15 vendus,https://ae-pic-a1.aliexpress-media.com/kf/Sde344f5742cd49d09c932f43378900bfU.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 2% en plus avec les pièces
1,https://fr.aliexpress.com/item/1005008675178975.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-5&pdp_ext_f=%7B%22order%22%3A%2220%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21355.87%21160.18%21%21%2135.48%2115.97%21%40211b6c1917468332778255310efdb6%2112000046193764030%21sea%21MA%210%21ABX&curPageLogUid=YNLE92gCcsxE&utparam-url=scene%3Asearch%7Cquery_from%3A,"Manteau en laine épais pour femmes, offre spéciale de la saison, nouveau Style amincissant, mi-long, Version coréenne, à la mode, automne hiver",MAD 160.18,N/A,N/A,4.5,20 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S92e6ac55c4934a7f98f2ba6d39e7a574t.jpg_480x480q75.jpg_.avif,MAD195.69 économisés | Livraison gratuite dès MAD100.3 d'achat
1,https://fr.aliexpress.com/item/1005008846447565.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-6&pdp_ext_f=%7B%22order%22%3A%2219%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21539.22%21253.46%21%21%2153.76%2125.27%21%40211b6c1917468332778255310efdb6%2112000046928227468%21sea%21MA%210%21ABX&curPageLogUid=x7H1mfw3DTEW&utparam-url=scene%3Asearch%7Cquery_from%3A,"Jean décontracté à jambe droite pour hommes, pantalon d'affaires élastique, coupe ample, confortable et Durable, pantalon Long de Style coréen",MAD 253.46,N/A,N/A,5,19 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S49b334063fe24a63965b2d41309c355bg.jpg_480x480q75.jpg_.avif,MAD285.76 économisés | Livraison gratuite dès MAD100.3 d'achat
1,https://www.aliexpress.com/ssr/300000512/BundleDeals2?productIds=1005005355278142:12000032743513496&pha_manifest=ssr&_immersiveMode=true&disableNav=YES&sourceName=SEARCHProduct&utparam-url=scene%3Asearch%7Cquery_from%3A,WAVLATII surdimensionné été t-shirts pour femmes hommes marron décontracté femme coréen Streetwear t-shirts unisexe basique solide jeune hauts frais,MAD 114.24,N/A,N/A,4.8,10 000 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S342fb971e57b4371845d9a9462a5435ey.jpg_480x480q75.jpg_.avif,Le plus vendu sur AliExpress | MAD121.63 économisés
1,https://fr.aliexpress.com/item/1005008667871451.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-8&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21659.18%21329.59%21%21%2165.72%2132.86%21%40211b6c1917468332778255310efdb6%2112000046163022007%21sea%21MA%210%21ABX&curPageLogUid=JCljpRactjgn&utparam-url=scene%3Asearch%7Cquery_from%3A,"Polo rayé à la mode pour hommes, T-Shirt décontracté à manches mi-longues, col rabattu, haut de loisirs, tendance, offre spéciale d'été",MAD 329.59,MAD659.18,-50%,3.5,25 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S91b6b7a3ce1c4e51ad7fe2af60dd36b2H.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | - 2% en plus avec les pièces
1,https://fr.aliexpress.com/item/1005008834768861.html?algo_pvid=76064a23-9e48-4d2a-a359-31500c660eaa&algo_exp_id=76064a23-9e48-4d2a-a359-31500c660eaa-9&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21MAD%21877.64%21412.44%21%21%2187.50%2141.12%21%40211b6c1917468332778255310efdb6%2112000046879887475%21sea%21MA%210%21ABX&curPageLogUid=e0M8ZUqQHAJU&utparam-url=scene%3Asearch%7Cquery_from%3A,Offre spéciale de la saison Graffiti lettre hommes jean haute rue Style coupe ample trou poinçonnage minceur pantalon américain à la mode son,MAD 412.44,N/A,N/A,5,15 vendus,https://ae-pic-a1.aliexpress-media.com/kf/S25aa77ac16c64d4d8eca3c52a0164bf7V.jpg_480x480q75.jpg_.avif,Livraison gratuite dès MAD100.3 d'achat | MAD465.2 économisés
